ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
FB,2012-05-18,42.05,45.0,38.0,38.2318,573576400.0,0.0,1.0,42.05,45.0,38.0,38.2318,573576400.0
FB,2012-05-21,36.53,36.66,33.0,34.03,168192700.0,0.0,1.0,36.53,36.66,33.0,34.03,168192700.0
FB,2012-05-22,32.61,33.59,30.94,31.0,101786600.0,0.0,1.0,32.61,33.59,30.94,31.0,101786600.0
FB,2012-05-23,31.37,32.5,31.36,32.0,73600000.0,0.0,1.0,31.37,32.5,31.36,32.0,73600000.0
FB,2012-05-24,32.95,33.21,31.77,33.03,50237200.0,0.0,1.0,32.95,33.21,31.77,33.03,50237200.0
FB,2012-05-25,32.9,32.95,31.11,31.91,37149800.0,0.0,1.0,32.9,32.95,31.11,31.91,37149800.0
FB,2012-05-29,31.48,31.69,28.65,28.84,78063400.0,0.0,1.0,31.48,31.69,28.65,28.84,78063400.0
FB,2012-05-30,28.695,29.55,27.86,28.19,57267900.0,0.0,1.0,28.695,29.55,27.86,28.19,57267900.0
FB,2012-05-31,28.545,29.67,26.83,29.6,111639200.0,0.0,1.0,28.545,29.67,26.83,29.6,111639200.0
FB,2012-06-01,28.892,29.15,27.39,27.72,41855500.0,0.0,1.0,28.892,29.15,27.39,27.72,41855500.0
FB,2012-06-04,27.2,27.65,26.44,26.9,35230300.0,0.0,1.0,27.2,27.65,26.44,26.9,35230300.0
FB,2012-06-05,26.7,27.76,25.75,25.869,42473400.0,0.0,1.0,26.7,27.76,25.75,25.869,42473400.0
FB,2012-06-06,26.07,27.17,25.52,26.81,61489200.0,0.0,1.0,26.07,27.17,25.52,26.81,61489200.0
FB,2012-06-07,27.0,27.35,26.15,26.31,26159500.0,0.0,1.0,27.0,27.35,26.15,26.31,26159500.0
FB,2012-06-08,26.55,27.76,26.44,27.1,38034000.0,0.0,1.0,26.55,27.76,26.44,27.1,38034000.0
FB,2012-06-11,27.18,28.07,26.835,27.005,28219600.0,0.0,1.0,27.18,28.07,26.835,27.005,28219600.0
FB,2012-06-12,27.48,27.77,26.96,27.4,15816800.0,0.0,1.0,27.48,27.77,26.96,27.4,15816800.0
FB,2012-06-13,27.66,28.1,27.1,27.27,17102800.0,0.0,1.0,27.66,28.1,27.1,27.27,17102800.0
FB,2012-06-14,27.65,28.32,27.38,28.29,16855000.0,0.0,1.0,27.65,28.32,27.38,28.29,16855000.0
FB,2012-06-15,28.505,30.1,28.35,30.014,43563800.0,0.0,1.0,28.505,30.1,28.35,30.014,43563800.0
FB,2012-06-18,29.955,32.08,29.41,31.41,42978900.0,0.0,1.0,29.955,32.08,29.41,31.41,42978900.0
FB,2012-06-19,31.535,32.18,30.7,31.911,30849000.0,0.0,1.0,31.535,32.18,30.7,31.911,30849000.0
FB,2012-06-20,31.92,31.9288,31.15,31.6,15553600.0,0.0,1.0,31.92,31.9288,31.15,31.6,15553600.0
FB,2012-06-21,31.67,32.5,31.51,31.84,21875300.0,0.0,1.0,31.67,32.5,31.51,31.84,21875300.0
FB,2012-06-22,32.41,33.45,32.06,33.05,74834000.0,0.0,1.0,32.41,33.45,32.06,33.05,74834000.0
FB,2012-06-25,32.86,33.02,31.55,32.06,24352900.0,0.0,1.0,32.86,33.02,31.55,32.06,24352900.0
FB,2012-06-26,32.69,33.44,32.5,33.1,24858700.0,0.0,1.0,32.69,33.44,32.5,33.1,24858700.0
FB,2012-06-27,32.46,32.9,31.9,32.23,28568000.0,0.0,1.0,32.46,32.9,31.9,32.23,28568000.0
FB,2012-06-28,31.96,32.19,30.9,31.36,17713300.0,0.0,1.0,31.96,32.19,30.9,31.36,17713300.0
FB,2012-06-29,31.92,31.99,30.76,31.095,19526900.0,0.0,1.0,31.92,31.99,30.76,31.095,19526900.0
FB,2012-07-02,31.25,31.73,30.55,30.771,14122000.0,0.0,1.0,31.25,31.73,30.55,30.771,14122000.0
FB,2012-07-03,30.91,31.44,30.8,31.2,8763600.0,0.0,1.0,30.91,31.44,30.8,31.2,8763600.0
FB,2012-07-05,31.32,31.625,31.02,31.47,10032100.0,0.0,1.0,31.32,31.625,31.02,31.47,10032100.0
FB,2012-07-06,31.44,31.9,31.26,31.73,10945600.0,0.0,1.0,31.44,31.9,31.26,31.73,10945600.0
FB,2012-07-09,32.1,32.88,31.99,32.17,17785200.0,0.0,1.0,32.1,32.88,31.99,32.17,17785200.0
FB,2012-07-10,32.43,32.48,31.1599,31.47,14269500.0,0.0,1.0,32.43,32.48,31.1599,31.47,14269500.0
FB,2012-07-11,31.48,31.56,30.55,30.97,13030300.0,0.0,1.0,31.48,31.56,30.55,30.97,13030300.0
FB,2012-07-12,30.7,31.4,30.6,30.81,11300700.0,0.0,1.0,30.7,31.4,30.6,30.81,11300700.0
FB,2012-07-13,31.04,31.07,30.56,30.72,8108300.0,0.0,1.0,31.04,31.07,30.56,30.72,8108300.0
